product_id,month,units_sold,average_price,previous_sales,rolling_sales_3_month,product_category_name,product_weight_g,month_date
33a07ea8a7b3dbab277c180e9f1233ea,2017-05-01,1,37.0,,,automotivo,2000.0,2017-05-01
33ac889bc3af4ddede9c14fc789a3743,2018-03-01,2,149.0,,,ferramentas_jardim,1700.0,2018-03-01
33b67c1594a903b27b5163c0efb15a5d,2017-05-01,1,69.9,,,fashion_bolsas_e_acessorios,200.0,2017-05-01
33bfc11487d18d2405f84661bc164f0f,2017-07-01,1,109.9,,,perfumaria,545.0,2017-07-01
33bfc11487d18d2405f84661bc164f0f,2017-10-01,1,99.7,1.0,1.0,perfumaria,545.0,2017-10-01
33cf505f7d94c2283766b8b1b13ef3cd,2017-12-01,1,81.99,,1.0,cama_mesa_banho,900.0,2017-12-01
33dc3dc62db9a9f1b48cc4c3809fadb2,2017-06-01,1,94.9,,1.0,brinquedos,293.0,2017-06-01
33e77eecc23c25a65d10f627e5053617,2017-10-01,1,114.94,,,moveis_escritorio,7400.0,2017-10-01
33f17ed3c6906f7a7ae17a0843536db4,2017-12-01,1,27.99,,,telefonia,300.0,2017-12-01
33fac76e7f17367dedaef7954bbb33b4,2017-11-01,1,88.0,,,beleza_saude,550.0,2017-11-01
33fac76e7f17367dedaef7954bbb33b4,2018-01-01,1,88.0,1.0,1.0,beleza_saude,550.0,2018-01-01
33fca9d59532dd4c191217a979346ab9,2017-06-01,1,248.0,,1.0,perfumaria,431.0,2017-06-01
340f33bdf4103eba89df5d5153beff7e,2017-11-01,1,119.99,,1.0,moveis_decoracao,900.0,2017-11-01
3410cbd7df2130ec3cb9300ef0fe3df1,2017-09-01,1,59.0,,,informatica_acessorios,675.0,2017-09-01
341d85d688ecc3353cf2a968e7ad0dbf,2018-02-01,1,129.9,,,beleza_saude,350.0,2018-02-01
341d85d688ecc3353cf2a968e7ad0dbf,2018-03-01,1,119.9,1.0,1.0,beleza_saude,350.0,2018-03-01
34742604f6cd1e891726b849b6890f81,2017-01-01,1,859.0,,1.0,esporte_lazer,12000.0,2017-01-01
347ba21666e27d60475549270486d936,2018-03-01,1,17.89,,1.0,beleza_saude,500.0,2018-03-01
348b10ae8463b0ee175ad03103e59f83,2017-12-01,1,179.99,,,brinquedos,1000.0,2017-12-01
34b9bda637e469b293f081fc33d7a094,2018-03-01,1,49.9,,,cool_stuff,1050.0,2018-03-01
34beebdf2b189075548689f23441ad50,2017-11-01,1,714.3,,,informatica_acessorios,2717.0,2017-11-01
34d6306314a47fe15c1efdbc23302020,2017-03-01,1,69.0,,,informatica_acessorios,107.0,2017-03-01
34d6306314a47fe15c1efdbc23302020,2017-06-01,1,69.0,1.0,1.0,informatica_acessorios,107.0,2017-06-01
34d6306314a47fe15c1efdbc23302020,2017-08-01,1,69.0,1.0,1.0,informatica_acessorios,107.0,2017-08-01
34dabb8af33b3756cf72df05fb327011,2017-02-01,1,99.0,,1.0,tablets_impressao_imagem,300.0,2017-02-01
34dabb8af33b3756cf72df05fb327011,2017-09-01,1,99.0,1.0,1.0,tablets_impressao_imagem,300.0,2017-09-01
34dabb8af33b3756cf72df05fb327011,2018-02-01,2,52.0,1.0,1.0,tablets_impressao_imagem,300.0,2018-02-01
34dcc2f0a890f961ee6252a1cd6ae3f2,2018-01-01,1,470.0,,1.0,utilidades_domesticas,30000.0,2018-01-01
34f1d812e50cac90f35094208c67cc8b,2017-07-01,2,144.0,,1.0,moveis_cozinha_area_de_servico_jantar_e_jardim,19300.0,2017-07-01
34f99d82cfc355d08d8db780d14aa002,2017-10-01,1,2999.99,,,pcs,25950.0,2017-10-01
3516632e8f52b679ff83d1665ecc990e,2017-06-01,1,75.9,,,informatica_acessorios,167.0,2017-06-01
